path,hazard,ssp,quantile,epoch
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_median_1995-2014.tif,hd35,historical,median,1995-2014
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_p10_1995-2014.tif,hd35,historical,p10,1995-2014
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_p90_1995-2014.tif,hd35,historical,p90,1995-2014
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_median_2040-2059.tif,hd35,ssp126,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_p10_2040-2059.tif,hd35,ssp126,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_p90_2040-2059.tif,hd35,ssp126,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_median_2040-2059.tif,hd35,ssp245,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_p10_2040-2059.tif,hd35,ssp245,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_p90_2040-2059.tif,hd35,ssp245,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_median_2040-2059.tif,hd35,ssp585,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_p10_2040-2059.tif,hd35,ssp585,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd35-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_p90_2040-2059.tif,hd35,ssp585,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_median_1995-2014.tif,hd42,historical,median,1995-2014
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_p10_1995-2014.tif,hd42,historical,p10,1995-2014
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_p90_1995-2014.tif,hd42,historical,p90,1995-2014
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_median_2040-2059.tif,hd42,ssp126,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_p10_2040-2059.tif,hd42,ssp126,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_p90_2040-2059.tif,hd42,ssp126,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_median_2040-2059.tif,hd42,ssp245,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_p10_2040-2059.tif,hd42,ssp245,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_p90_2040-2059.tif,hd42,ssp245,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_median_2040-2059.tif,hd42,ssp585,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_p10_2040-2059.tif,hd42,ssp585,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd42-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_p90_2040-2059.tif,hd42,ssp585,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_median_1995-2014.tif,hd45,historical,median,1995-2014
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_p10_1995-2014.tif,hd45,historical,p10,1995-2014
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-historical-climatology_p90_1995-2014.tif,hd45,historical,p90,1995-2014
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_median_2040-2059.tif,hd45,ssp126,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_p10_2040-2059.tif,hd45,ssp126,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp126-climatology_p90_2040-2059.tif,hd45,ssp126,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_median_2040-2059.tif,hd45,ssp245,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_p10_2040-2059.tif,hd45,ssp245,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp245-climatology_p90_2040-2059.tif,hd45,ssp245,p90,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_median_2040-2059.tif,hd45,ssp585,median,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_p10_2040-2059.tif,hd45,ssp585,p10,2040-2059
world-bank-climate-knowledge-portal/climatology-hd45-annual-mean_cmip6_annual_all-regridded-bct-ssp585-climatology_p90_2040-2059.tif,hd45,ssp585,p90,2040-2059
